TID,Variable,Value
1994-10,2020indeks,65.0485436893204
1994-10,INDHOLD,67.0
1994-10,pi^12_t,0.019786910197869156
1994-10,pi_t,0.001494768310911887
1994-11,2020indeks,65.24271844660194
1994-11,INDHOLD,67.2
1994-11,pi^12_t,0.02127659574468077
1994-11,pi_t,0.0029850746268655914
1994-12,2020indeks,65.24271844660194
1994-12,INDHOLD,67.2
1994-12,pi^12_t,0.022831050228310446
1994-12,pi_t,0.0
1995-01,2020indeks,65.24271844660194
1995-01,INDHOLD,67.2
1995-01,pi^12_t,0.02127659574468077
1995-01,pi_t,0.0
1995-02,2020indeks,65.53398058252428
1995-02,INDHOLD,67.5
1995-02,pi^12_t,0.022727272727272707
1995-02,pi_t,0.0044642857142858094
1995-03,2020indeks,65.72815533980582
1995-03,INDHOLD,67.7
1995-03,pi^12_t,0.024205748865355536
1995-03,pi_t,0.002962962962962834
1995-04,2020indeks,65.92233009708738
1995-04,INDHOLD,67.9
1995-04,pi^12_t,0.024132730015083093
1995-04,pi_t,0.002954209748892156
1995-05,2020indeks,66.2135922330097
1995-05,INDHOLD,68.2
1995-05,pi^12_t,0.024024024024023927
1995-05,pi_t,0.004418262150220897
1995-06,2020indeks,66.11650485436893
1995-06,INDHOLD,68.1
1995-06,pi^12_t,0.020989505247376306
1995-06,pi_t,-0.0014662756598240456
1995-07,2020indeks,65.8252427184466
1995-07,INDHOLD,67.8
1995-07,pi^12_t,0.018018018018018056
1995-07,pi_t,-0.004405286343612258
1995-08,2020indeks,65.92233009708738
1995-08,INDHOLD,67.9
